Id;Nombre;Longitud;Latitud
256;Fargue 25;-3.564235;37.202966
257;Fargue - Fábrica de Pólvoras;-3.564417;37.20257
258;Fargue 49;-3.566949;37.200483
259;Fargue - Barriada del Pilar 5;-3.566415;37.200548
260;Fargue - Fte 2;-3.568478;37.199392
261;Fargue 2;-3.568412;37.199334
262;Fargue - Mirador del Veleta;-3.555316;37.210626
263;Profesor Clavera - Fte Facultad Empresariales;-3.595417;37.192272
264;Emperatriz Eugenia 18;-3.607577;37.175503
265;Cno. Real de los Neveros - Fte Aconcagua;-3.578616;37.157719
266;Doctor Olóriz 14;-3.607145;37.188075
267;Doctor Castroviejo 13;-3.608813;37.190806
268;Doctor Azpitarte - Hospital Virgen de las Nieves;-3.609116;37.18878
269;Ctra. Málaga 160 - Ciudad de los Niños;-3.641328;37.191458
270;Ctra. Málaga 193 - Ciudad de los Niños;-3.641483;37.191352
271;Ctra. Málaga 191;-3.639116;37.19092
272;Ctra. Málaga - Polígono Fatinafar;-3.639069;37.191039
273;Ctra. Málaga Fte 142;-3.636614;37.190582
274;Ctra. Málaga 142;-3.636692;37.190713
275;Ctra. Málaga 116 - Venta Zurita;-3.629891;37.189877
276;Ctra. Málaga 88;-3.626197;37.189382
277;Ctra. Málaga 69;-3.623438;37.189123
278;Ctra. Málaga 74;-3.623173;37.189284
279;Ctra. Málaga - Las Torres;-3.619775;37.188812
280;Ctra. Málaga 54 - Fte Las Torres;-3.619754;37.188956
281;Ctra. Málaga - Villa Pineda;-3.615553;37.188372
282;Ctra. Málaga - Villarejo;-3.615386;37.188502
283;Avda. Dílar - Fte Plaza Asunción Linares;-3.601317;37.150538
284;Ctra. Murcia - Fajalauza;-3.593014;37.186631
285;Mirador San Cristóbal-Albaicín;-3.596075;37.18312
286;Ctra. Murcia - Fte 1;-3.599702;37.187928
287;Andrés Segovia 60 - Centro Cívico Zaidín;-3.595663;37.157957
288;Ctra. de la Sierra 114;-3.578632;37.164504
289;Ctra. de la Sierra 130;-3.576315;37.163929
