Source;Target;Distance (m)
119;599;177.9505110110143
106;37;111.79688507391371
134;491;142.55213410736323
609;118;276.8454420380341
118;5;196.63743211787434
2;3;293.1486164822527
3;458;218.16226179623786
458;21;384.0302769761108
21;247;625.700311031185
247;69;186.1222903041019
69;577;280.4560459389817
581;500;125.09058571814798
500;499;295.4941903730719
499;593;79.81335684807465
593;317;902.7713223497977
317;228;370.35894058071284
228;248;245.49817706048395
248;235;381.3843890098783
235;236;31.361094236155296
236;380;352.36659823984894
380;479;311.54313520805493
479;603;212.39834741557735
603;578;340.3609873937858
578;617;272.7904887211738
617;4;173.61864805102073
4;579;204.22730995546507
609;600;211.6461270720354
600;119;167.7087509999983
5;150;662.1849647060176
150;73;586.8910912783359
73;224;186.75353898199768
224;196;52.443478258030176
196;96;207.75907423819928
96;94;187.46961967424633
94;574;175.90077354234694
574;42;456.0888505238916
42;151;142.96143553320528
151;152;147.88842905747356
152;575;189.5732948043491
575;36;264.07267218949454
36;35;131.72072187815837
35;104;164.45162382701963
104;106;154.1049542721422
262;252;206.0204420377518
252;254;259.1767437274596
254;256;864.2024069473555
256;111;1026.4844849199546
111;319;6.397977918409519
319;531;1240.6302206936448
531;112;1071.6094190168394
112;219;38.6292369487626
219;242;225.08424431598021
242;195;344.1315899626341
195;194;330.0015612952022
193;32;219.45855449675048
32;6;199.3005830932847
6;192;610.7861423300849
192;330;192.178742384051
451;593;126.43222660257504
227;286;456.15541364855306
286;14;409.3137112943801
14;285;267.0064918798887
285;66;336.8641240330263
66;284;230.21418413644278
284;61;376.3979808420831
61;322;389.69595185913875
322;323;11.020708221264156
323;72;165.90908687975863
72;72;36.63223039897196
72;530;728.7997443336935
530;320;814.8259226305387
320;321;11.96022956527152
321;260;808.3033648111101
260;261;9.765064921661427
261;258;206.74751776186724
258;259;59.78627443679229
259;257;315.9259351017075
257;255;851.0310632999442
255;253;307.9939224184632
253;529;132.5284926503151
423;56;143.8983978380576
56;424;16.964632079233496
424;112;303.53320394948435
330;329;399.9626874276785
329;266;283.03230406014427
581;593;479.33757233119144
593;499;79.81335684807465
499;227;349.5679332131909
61;74;359.76854768835136
501;359;214.22240454172587
359;377;208.9997780301027
377;538;269.7935794174468
538;537;185.59218046374872
537;536;216.32003714361502
536;535;253.79013471162503
535;305;313.4262661591827
305;303;395.2944262679728
303;223;182.93087776032922
223;316;249.60753016817995
316;80;191.8260427818074
80;339;35.78744829772112
339;341;484.12210909278167
341;34;576.3206049476098
34;76;759.1951377441623
76;334;41.98936733006002
334;332;478.49922957521454
343;455;431.31963419485294
455;378;405.79344960747926
378;298;486.6850411431425
298;618;305.6868042764739
618;601;571.2335832165887
601;602;25.07927321634206
602;20;497.59088737947866
20;52;554.5078788574677
52;206;177.14053998350107
206;205;71.52284698322157
205;171;176.72324185656504
171;240;23.65590416806773
240;68;536.2396055094194
309;308;131.19265783941574
307;67;145.99113450760126
306;525;233.7125274736289
525;422;192.63469947440717
422;526;185.58752163461423
526;60;656.7440491914917
60;241;77.11420980774652
241;204;594.7403457705925
204;19;189.87440314149163
19;328;60.15248861664181
328;17;322.5219695150116
17;18;22.320131450636325
18;360;82.45442781872336
360;361;227.258058798749
361;362;18.107473139236085
362;129;218.80918064985605
129;181;32.017678029391114
181;7;581.211248209815
7;607;17.35548559850193
607;13;205.6398583099397
13;25;43.121072669104564
25;459;413.45228664279864
459;299;178.03402859496416
299;300;293.90934966755634
300;301;32.01767802916421
301;532;225.7654404839599
532;486;312.33454289843263
486;485;306.92537493815337
485;69;227.3739887267132
69;342;368.693360165521
342;331;249.05367120282406
331;75;361.1878146109138
75;333;91.88050079204979
333;77;712.9126784882475
77;524;25.263779543204816
524;33;163.72132757729446
33;78;242.69350421317662
78;335;157.60262604106723
335;79;449.5244066616887
79;338;29.354374695626515
338;336;267.7450154156722
336;337;249.90574774753753
337;340;91.24031322800782
340;135;373.2485464768715
135;48;276.1591032182335
48;302;222.94729943294004
302;304;177.9638375909075
301;299;310.3830728976499
299;13;573.8999401120035
13;7;188.5352837035983
7;601;335.20651827384154
601;9;183.9020361057843
9;10;199.09614296148007
10;200;328.19090774475535
200;571;551.7784968119726
571;366;552.5483480280302
366;251;377.618414797492
251;250;135.0561566999142
250;570;256.9210866305597
570;210;319.5504275342146
210;209;169.51947548668554
209;277;249.20657599477045
277;279;408.5668270436043
279;281;471.7701184150338
281;342;334.6170125368835
331;333;271.68450823241665
333;334;356.00755329567187
334;524;344.5862857913798
524;335;248.59411926080293
335;34;198.60840934092343
34;79;250.91730710608422
79;341;325.4034527736896
341;340;260.46393867418163
340;339;223.65817362049026
339;91;409.22842208566925
91;177;162.15652376739857
177;369;156.1328914821356
369;370;278.7827166914917
370;569;276.2907716451743
569;568;171.23667263039042
568;218;192.57467312004272
573;217;271.8061200725006
217;567;183.20804857374762
567;566;187.59476387853513
566;565;205.39311103548636
565;564;307.68514507996844
564;197;283.10373573635627
197;376;182.38075828884809
376;191;201.11470352672316
467;546;200.43489587867222
546;587;121.92996831603034
587;610;353.94910034895537
610;23;252.2369081220999
23;466;600.0418076978686
466;540;280.6342277747813
540;463;273.32661713892566
463;10;447.9280190900328
10;460;431.83601556030465
460;363;283.9462468475548
363;107;583.9227935429536
107;267;216.32688903689242
267;268;227.67184257035436
268;63;164.79440428135388
63;581;356.34194807345943
593;500;359.70298314909587
500;317;543.1103099133296
317;379;337.0478134853214
379;378;292.2271248722184
378;110;153.73384278626372
110;108;353.1381170782791
108;109;24.60794151619277
109;84;343.9242101439576
